id;year;earning1;season;Nindnme;returnSe
29;2010;16.94677;4;K;-0.1115312
30;2007;-10.15954;1;C4;
30;2007;;2;C4;
30;2007;;3;C4;
30;2007;;4;C4;
30;2008;;1;C4;
30;2008;;2;C4;
30;2008;;3;C4;
30;2008;;4;C4;
30;2009;-11.29926;1;C4;0.7476192
30;2009;-12.64797;2;C4;0.424581
30;2009;11.36361;3;C4;0.2509804
30;2009;4.652092;4;C4;0.2483871
30;2010;-3.338896;1;C4;0.1364796
30;2010;-3.050256;2;C4;
30;2010;;3;C4;
30;2010;;4;C4;
31;2007;1.720726;1;K;0.4185544
31;2007;17.52859;2;K;0.7110439
31;2007;11.71301;3;K;0.4439026
31;2007;15.57015;4;K;-0.2398809
31;2008;1.320433;1;K;-0.0749707
31;2008;5.670443;2;K;-0.5254669
31;2008;7.557559;3;K;-0.5745063
31;2008;16.10687;4;K;0.0434783
31;2009;-1.238086;1;K;0.4673469
31;2009;-0.1248895;2;K;0.555866
31;2009;5.139407;3;K;-0.0036036
31;2009;16.04104;4;K;-0.0061947
31;2010;1.803072;1;K;-0.1099291
31;2010;4.583054;2;K;-0.3154229
31;2010;8.438151;3;K;0.0144927
31;2010;42.35144;4;K;-0.1087267
32;2007;11.76072;1;C3;0.6506275
32;2007;13.33823;2;C3;-0.0559797
32;2007;22.50651;3;C3;0.5739485
32;2007;37.52477;4;C3;0.0986733
32;2008;27.25206;1;C3;-0.2194757
32;2008;30.03014;2;C3;-0.3263358
32;2008;41.91772;3;C3;-0.2450425
32;2008;93.27808;4;C3;-0.0096712
32;2009;13.9964;1;C3;0.3688212
32;2009;13.89363;2;C3;0.0758621
32;2009;13.75997;3;C3;-0.1481959
32;2009;29.28157;4;C3;0.2899851
32;2010;4.821063;1;C3;0.1283238
32;2010;5.984306;2;C3;-0.1989744
32;2010;17.57688;3;C3;0.3649351
32;2010;19.15359;4;C3;-0.0737937
33;2007;-1.457604;1;H;0.7841269
33;2007;-1.442134;2;H;0.3173431
33;2007;-2.415637;3;H;0.2462006
33;2007;0.9143097;4;H;-0.1535672
33;2008;-0.5484741;1;H;-0.0385714
33;2008;-2.147012;2;H;-0.4190193
33;2008;2.469177;3;H;-0.2984694
33;2008;5.147231;4;H;0.018315
33;2009;-3.504633;1;H;0.3404256
33;2009;-5.968184;2;H;0.4973685
33;2009;-6.30121;3;H;-0.1170213
33;2009;-10.70168;4;H;0.4612325
33;2010;-1.546548;1;H;0.0135685
33;2010;-3.109205;2;H;-0.2192513
33;2010;-5.017025;3;H;0.1416382
33;2010;1.935645;4;H;-0.1880597
34;2007;-5.778794;1;S;2.033333
34;2007;-2.88264;2;S;0.1148936
34;2007;-12.72192;3;S;0.5528783
34;2007;-98.56676;4;S;-0.0995745
34;2008;-0.6919701;1;S;0.0449859
34;2008;;2;S;
34;2008;-17.32623;3;S;-0.6209016
34;2008;-600.2791;4;S;0.0223464
34;2009;-0.7099393;1;S;0.8435754
34;2009;-5.741554;2;S;0.6564417
34;2009;-1.075922;3;S;0.3703704
34;2009;41.44095;4;S;0.1533421
34;2010;;1;S;
34;2010;;2;S;
34;2010;;3;S;
34;2010;173.2953;4;S;0.1532033
35;2007;-1.139014;1;C3;0.8818899
