id,year,returnSe,season,earning1,Nindnme
16,2010,-0.3989899,2,0.0957104,C3
16,2010,0.2289915,3,0.1977506,C3
16,2010,-0.1863247,4,0.2166781,C3
16,2011,0.0294117,1,-0.1982367,C3
16,2011,-0.1040817,2,-0.4879623,C3
16,2011,-0.1731207,3,-0.4460531,C3
16,2011,-0.1294766,4,0.0834399,C3
16,2012,0.0031646,1,0.0416396,C3
16,2012,0.1735016,2,0.045352,C3
16,2012,-0.1451613,3,0.0529865,C3
16,2012,-0.0062893,4,0.1789918,C3
16,2013,0,1,0.0438402,C3
16,2013,-0.0443038,2,0.1452792,C3
16,2013,0.1423841,3,0.1672195,C3
16,2013,0.1188405,4,0.2172884,C3
16,2014,0.1450778,1,0.0335074,C3
16,2014,0.0045249,2,0.134127,C3
16,2014,0.1936937,3,0.1405144,C3
16,2014,0.1301886,4,0.1430515,C3
16,2015,0.6377297,1,0.0091865,C3
16,2015,2.075433,2,-0.3889756,C3
16,2015,-0.8226715,3,-0.3564213,C3
16,2015,0.2915888,4,-1.493534,C3
16,2016,-0.2619392,1,0.0123844,C3
16,2016,-0.0568627,2,0.0121655,C3
16,2016,-0.006237,3,-0.0640805,C3
16,2016,-0.0564853,4,0.1207793,C3
16,2017,-0.0243903,1,0.0360522,C3
16,2017,0.1113636,2,0.0489627,C3
16,2017,0.1738241,3,0.1726768,C3
16,2017,0.0557492,4,5.550617,C3
17,2010,1.750916,1,-0.4010396,C3
17,2010,-0.3249001,2,-0.2270506,C3
17,2010,0.3274161,3,-0.3996765,C3
17,2010,-0.255572,4,0.316207,C3
17,2011,0.1776447,1,-0.0800469,C3
17,2011,-0.1355933,2,0.1466373,C3
17,2011,-0.0803921,3,0.1416158,C3
17,2011,-0.4179105,4,0.2795255,C3
17,2012,0.0622711,1,-0.1907533,C3
17,2012,0.0965517,2,-0.3789623,C3
17,2012,0.0660377,3,-0.4997199,C3
17,2013,0.2979351,4,15.34238,C3
17,2014,0.4431818,1,0.0032545,C3
17,2014,-0.0645669,2,0.0122718,C3
17,2014,0.604377,3,0.0228049,C3
17,2014,-0.2770199,4,0.0200279,C3
17,2015,0.5166909,1,0.0018942,C3
17,2015,0.8373207,2,0.0018716,C3
17,2015,-0.5692708,3,0.0013604,C3
17,2015,0.6807737,4,-0.0004228,C3
17,2016,-0.1014388,1,0.0005049,C3
17,2016,-0.1505204,2,0.0013713,C3
17,2016,-0.0103675,3,0.0090479,C3
17,2016,0.2,4,0.0122325,C3
17,2017,-0.1833334,1,0.0009379,C3
17,2017,-0.148688,2,-0.0068232,C3
17,2017,-0.1084475,3,-0.0060765,C3
17,2017,-0.206146,4,0.0066735,C3
18,2007,0.7578741,1,-0.493298,C1
18,2007,-0.2911535,2,-0.4286633,C1
18,2007,0.2448657,3,-1.044575,C1
18,2007,0.073604,4,-1.58539,C1
18,2008,-0.0460993,1,-0.0275832,C1
18,2008,-0.4027261,2,-0.0553328,C1
18,2008,-0.1701245,3,-0.2043097,C1
18,2008,-0.005,4,-0.6532597,C1
18,2009,0.4145729,1,-0.0465203,C1
18,2009,0.2877442,2,-0.0241902,C1
18,2009,0.0096552,3,-0.0059697,C1
18,2009,0.1748634,4,0.1604668,C1
18,2010,0.0930232,1,-0.0413194,C1
18,2010,-0.3085106,2,0.0572339,C1
18,2010,0.3446153,3,0.0971335,C1
18,2010,-0.1132723,4,0.0272034,C1
18,2011,0.0890322,1,-0.0537859,C1
18,2011,-0.1409952,2,-0.0981587,C1
18,2011,0.1103449,3,-0.1704416,C1
